"1","11","Rondônia"
"1","12","Acre"
"1","13","Amazonas"
"1","14","Roraima"
"1","15","Pará"
"1","16","Amapá"
"1","17","Tocantins"
"2","21","Maranhão"
"2","22","Piauí"
"2","23","Ceará"
"2","24","Rio Grande do Norte"
"2","25","Paraíba"
"2","26","Pernambuco"
"2","27","Alagoas"
"2","28","Sergipe"
"2","29","Bahia"
"3","31","Minas Gerais"
"3","32","Espírito Santo"
"3","33","Rio de Janeiro"
"3","35","São Paulo"
"4","41","Paraná"
"4","42","Santa Catarina"
"4","43","Rio Grande do Sul"
"5","50","Mato Grosso do Sul"
"5","51","Mato Grosso"
"5","52","Goiás"
"5","53","Distrito Federal"
